Name,helmet,cape,amulet,weapon,body,sheild,Equip7,legs,Equip9,gloves,boots,Equip12,Loc_x,Loc_y,Anim_id,Overall,Attack,Defence,Strength,Hitpoints,Ranged,Prayer,Magic,Cooking,Woodcutting,Fletching,Fishing,Firemaking,Crafting,Smithing,Mining,Herblore,Agility,Thieving,Slayer,Farming,Runecrafting,Hunter,Construction,Location
Aweb0kz,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3164,3487,-1,518,40,41,44,42,1,2,1,66,70,1,70,70,1,1,60,1,1,1,1,1,1,1,1,ge
Popeye2018,-1,-1,1660,853,-1,-1,-1,1099,-1,1065,-1,-1,3162,3489,-1,675,1,40,1,54,64,1,1,68,60,1,60,60,88,47,83,1,10,1,1,1,30,1,1,ge
ImFatNotCute,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3166,3487,-1,906,60,55,57,68,74,42,58,50,43,43,24,41,44,40,41,30,25,20,63,17,9,1,1,ge
PappoSeco,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3176,3476,-1,378,40,40,40,36,1,31,55,4,41,1,1,1,9,29,41,1,1,1,1,1,1,1,1,ge
GB Justin,-1,-1,-1,1381,-1,-1,-1,-1,-1,-1,-1,-1,3158,3485,-1,674,70,62,75,69,1,43,1,1,1,20,1,1,31,1,1,1,37,19,33,1,1,1,27,ge
fordayouth,12241,-1,10366,1385,12235,12243,-1,12237,-1,-1,-1,-1,3167,3490,-1,126,1,21,1,25,1,1,60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ge
70x,21018,21791,19720,22323,21021,21000,-1,21024,-1,19544,13235,-1,3158,3478,-1,1336,83,81,99,94,90,77,86,59,90,9,18,61,51,1,51,78,37,40,78,54,38,1,60,ge
str99ownu1,-1,4367,1731,853,1129,-1,-1,1099,-1,1065,1061,-1,3169,3487,-1,377,41,1,55,49,47,9,10,18,18,1,63,5,8,29,15,1,1,1,1,1,1,1,1,ge
Slayer3kk,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3170,3470,-1,1322,74,70,80,78,78,61,67,54,60,57,54,72,56,60,59,50,43,37,66,22,40,32,52,ge
trippieYJ,12453,4391,1727,1387,12449,1191,-1,12445,-1,-1,23294,-1,3160,3486,713,257,40,1,65,54,1,1,68,3,3,1,2,3,1,3,3,1,1,1,1,1,1,1,1,ge
kendal204,1163,4413,10364,1333,1127,1201,-1,1093,-1,2912,11019,-1,3164,3483,-1,461,50,50,60,54,12,37,49,28,27,1,7,29,9,16,24,1,1,1,1,1,1,1,1,ge
5kekMalxHunt,6182,4365,1654,1381,6654,-1,-1,1099,-1,1065,1061,-1,3167,3487,-1,610,40,40,44,49,53,36,53,51,45,1,45,37,3,35,38,1,1,1,1,1,33,1,1,ge
D34DSH0T2369,24034,6568,6585,20260,24037,23191,-1,24040,-1,24046,24043,-1,3173,3491,-1,1321,66,60,65,69,72,57,73,67,78,91,63,58,75,86,87,35,56,32,48,21,36,1,25,ge
NevGotRRekt,10828,6570,11978,4151,10551,12954,-1,4970,-1,21736,11840,-1,3153,3477,-1,1115,79,77,83,82,79,65,46,69,50,48,27,71,55,29,27,11,45,32,73,2,32,7,26,ge
FadedLoneDog,1161,4411,1725,1331,1123,1199,-1,1073,-1,1059,1061,-1,3164,3485,-1,419,31,35,36,40,30,21,46,40,21,1,54,24,3,14,15,1,1,1,1,1,1,1,1,ge
marcanoec,-1,-1,-1,1353,-1,-1,-1,-1,-1,-1,-1,-1,3162,3488,-1,0,1,1,1,1,1,1,1,1,52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ge
The Soapbox,-1,-1,-1,1387,-1,-1,-1,-1,-1,-1,-1,-1,3162,3487,-1,374,41,34,54,49,48,5,56,2,2,26,1,6,26,3,3,1,1,1,11,1,1,1,1,ge
Sqlpythonjss,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3168,3487,-1,651,75,56,66,68,71,52,85,1,39,1,1,50,31,1,1,1,33,14,1,1,1,1,1,ge
Csbtkrillex,1169,-1,1731,853,-1,-1,-1,-1,-1,2912,1061,-1,3166,3487,-1,509,42,56,52,59,63,43,57,20,10,1,1,8,32,29,20,1,1,1,1,9,1,1,1,ge
Prince Dios,2657,4331,1731,1333,2653,2659,-1,2655,-1,2912,-1,-1,3163,3487,-1,1078,64,60,61,61,41,38,45,64,51,47,63,49,46,61,64,21,54,33,53,18,18,50,16,ge
Diamond0930,2619,1019,23309,1303,1123,2621,-1,2617,-1,-1,-1,-1,3167,3487,-1,612,50,51,50,53,40,36,53,25,41,1,12,45,36,46,55,1,1,1,1,1,11,1,1,ge
Un-Real Flow,12211,4345,-1,22358,544,-1,-1,542,-1,1059,1061,-1,3162,3487,-1,538,41,44,45,41,1,33,43,91,14,1,50,17,36,32,37,1,4,2,1,1,1,1,1,ge
C0rona time,1163,-1,-1,-1,1127,1201,-1,1079,-1,-1,-1,-1,3162,3487,-1,1235,61,66,92,82,62,60,90,70,61,40,99,38,55,40,99,43,71,35,20,9,4,10,28,ge
Savageqd,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3172,3485,-1,771,99,99,99,99,90,43,26,10,37,9,26,30,35,1,1,1,20,14,20,1,1,9,1,ge
qqnjsay45454,-1,-1,1478,1387,-1,-1,-1,-1,-1,-1,-1,-1,3164,3486,-1,124,8,8,1,15,1,1,21,1,13,1,1,1,1,1,42,1,1,1,1,1,1,1,1,ge
Die BySword,23448,4405,1731,23446,6184,-1,-1,13664,-1,13665,13182,-1,3166,3474,-1,914,60,60,78,74,77,43,62,50,61,20,50,48,31,37,48,1,34,16,41,1,20,1,1,ge
telegrabmeof,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3162,3488,-1,682,60,43,54,63,75,45,67,46,36,9,43,1,57,1,10,3,30,14,21,1,1,1,1,ge
K1d5,1161,-1,1731,1371,1123,1199,-1,1073,-1,-1,9005,-1,3170,3464,-1,314,40,40,41,40,1,16,1,52,3,1,47,5,3,1,15,1,1,1,1,1,1,1,1,ge
Dual Magic,-1,-1,1478,853,1135,-1,-1,1099,-1,1065,-1,-1,3164,3487,-1,1274,75,70,90,83,70,54,92,60,62,60,60,50,64,60,60,38,39,28,46,52,30,30,1,ge
V-Pochoclero,10828,-1,6585,4151,10551,12954,-1,21304,-1,7460,11840,-1,3162,3488,-1,1134,72,71,74,75,73,52,75,66,56,31,38,63,55,39,38,25,49,33,57,21,14,9,48,ge
Tim Pounds,21720,1019,-1,1419,20775,-1,-1,20777,-1,9922,13286,-1,3162,3488,-1,483,1,1,1,10,1,1,1,58,43,1,63,46,84,50,48,22,22,5,1,1,21,1,1,ge
ShaggyShoter,23448,13679,1478,4565,581,-1,-1,1095,-1,1063,13182,-1,3171,3473,-1,643,53,55,58,55,36,37,38,55,41,1,50,40,20,35,42,1,1,1,1,1,20,1,1,ge
Cesarhfer68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3163,3487,-1,267,32,1,1,44,1,43,93,4,1,1,1,1,1,1,10,1,25,1,1,1,1,1,1,ge
