Name,helmet,cape,amulet,weapon,body,sheild,Equip7,legs,Equip9,gloves,boots,Equip12,Loc_x,Loc_y,Anim_id,Chat_response,Overall,Attack,Defence,Strength,Hitpoints,Ranged,Prayer,Magic,Cooking,Woodcutting,Fletching,Fishing,Firemaking,Crafting,Smithing,Mining,Herblore,Agility,Thieving,Slayer,Farming,Runecrafting,Hunter,Construction,Location
Lord Xeric,12845,-1,-1,1419,20775,-1,-1,20777,-1,9922,9921,-1,3291,3375,-1,NA,1798,99,91,99,99,96,77,86,74,91,80,75,78,75,70,72,58,70,74,88,56,54,64,72,mining
Moreevoke501,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3286,3368,-1,NA,315,2,1,1,49,1,15,63,1,55,1,1,55,1,1,60,1,1,1,1,1,1,1,1,mining
Gustabo2000,-1,-1,-1,1275,-1,-1,-1,-1,-1,-1,-1,-1,3285,3370,624,NA,335,50,50,50,50,1,16,1,1,52,1,10,1,4,1,39,1,1,1,1,1,1,1,1,mining
Kyng Brumear,-1,-1,-1,1265,-1,-1,-1,-1,-1,-1,-1,-1,3283,3368,-1,NA,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41,1,1,1,1,1,1,1,1,mining
Sofagrill,579,-1,1725,1387,577,1191,-1,6655,-1,1059,1061,-1,3291,3374,-1,NA,248,22,10,21,24,1,15,30,12,36,1,12,37,5,2,12,1,1,1,1,1,1,1,1,mining
erika sex,-1,-1,-1,1265,-1,-1,-1,-1,-1,-1,-1,-1,3284,3369,-1,NA,131,1,1,1,10,1,1,1,1,19,1,41,1,1,1,42,1,1,1,1,1,1,1,1,mining
Zergbanger,-1,-1,-1,1275,-1,-1,-1,-1,-1,-1,-1,-1,3286,3370,-1,NA,577,61,44,44,52,1,46,38,6,36,1,20,40,31,44,54,1,31,13,1,1,10,1,1,mining
Jhawk9191,-1,1027,1731,853,6654,-1,-1,1099,-1,1065,-1,-1,3290,3377,-1,NA,241,1,3,1,45,56,28,1,1,1,1,1,1,1,43,49,1,1,1,1,1,1,1,1,mining
Sir Mike 59,-1,-1,-1,1273,-1,-1,-1,-1,-1,-1,-1,-1,3286,3368,629,NA,216,20,10,10,19,13,12,1,21,10,1,9,13,1,29,39,1,1,1,1,1,1,1,1,mining
andres1980,-1,-1,-1,1273,-1,-1,-1,-1,-1,-1,-1,-1,3286,3368,629,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
TheAIBillNye,-1,-1,-1,1265,-1,1171,-1,-1,-1,-1,-1,-1,3286,3365,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
merdenondedj,1141,-1,-1,1299,1109,-1,-1,1067,-1,1059,1061,-1,3287,3366,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
endryrx 2017,-1,-1,-1,1325,1129,1171,-1,-1,-1,1059,1061,-1,3292,3376,1156,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
wsonjose123,-1,-1,-1,1273,-1,-1,-1,-1,-1,-1,-1,-1,3286,3368,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
